273 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 160, 19, 2 ]
274 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 160, 19, 2 ]
275 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 160, 19, 2 ]
276 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 160, 19, 2 ]
277 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 160, 19, 2 ]
278 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 161, 19, 2 ]
279 / 10000: [ 0, 0, 1, 0, 0 ], [ 0, 161, 19, 2 ]
280 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 162, 19, 2 ]
281 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 163, 19, 2 ]
282 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 164, 19, 2 ]
283 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 165, 19, 2 ]
284 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 166, 19, 2 ]
285 / 10000: [ 0, 0, 0, 2, 0 ], [ 0, 166, 19, 3 ]
286 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 167, 19, 3 ]
287 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 168, 19, 3 ]
288 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 168, 19, 3 ]
289 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 169, 19, 3 ]
290 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 170, 19, 3 ]
291 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 171, 19, 3 ]
292 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 172, 19, 3 ]
293 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 173, 19, 3 ]
294 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 173, 19, 3 ]
295 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 173, 19, 3 ]
296 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 173, 19, 3 ]
297 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 173, 19, 3 ]
298 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 174, 19, 3 ]
299 / 10000: [ 0, 1, 1, 0, 0 ], [ 0, 174, 20, 3 ]
300 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 175, 20, 3 ]
301 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 176, 20, 3 ]
302 / 10000: [ 0, 1, 1, 0, 0 ], [ 0, 176, 21, 3 ]
303 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 177, 21, 3 ]
